PlayerId,PlayerLink,ShirtNumber,Position,OfficialName,LastName,GamesPlayedTotal,MinutesTotal,SecondsTotal,PointsTotal,FieldGoals2PointsMadeTotal,FieldGoals2PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FreeThrowsMadeTotal,FreeThrowsAttemptedTotal,OffensiveReboundsTotal,DefensiveReboundsTotal,BlocksTotal,AssistsTotal,TurnOversTotal,StealsTotal,PersonalFoulsTotal,Efficiency,PlusMinus,DoubleDoubles,TripleDoubles
173834,/womensbasketballworldcup/2022/player/Helena-Ciak,N/A,Center,Helena Ciak (FRA),Ciak,4,30,1828,3,1,1,0,0,1,2,3,2,1,0,0,2,3,10,9,0,0
226150,/womensbasketballworldcup/2022/player/Marine-Fauthoux,N/A,Point Guard,Marine Fauthoux (FRA),Fauthoux,6,167,10062,65,18,34,5,23,14,18,4,10,2,21,15,10,10,59,52,0,0
151688,/womensbasketballworldcup/2022/player/Sarah-Michel,N/A,Shooting Guard,Sarah Michel (FRA),Michel,6,170,10220,29,7,17,5,16,0,1,1,28,1,23,11,15,11,64,24,0,0
183648,/womensbasketballworldcup/2022/player/Marie-Eve-Paget,N/A,Point Guard,Marie-Eve Paget (FRA),Paget,5,30,1818,3,0,0,1,7,0,0,1,3,0,4,3,0,4,2,-18,0,0
226193,/womensbasketballworldcup/2022/player/Iliana-Rupert,N/A,Center,Iliana Rupert (FRA),Rupert,6,119,7176,38,15,28,2,13,2,2,10,21,6,7,11,9,18,56,-28,1,0
175762,/womensbasketballworldcup/2022/player/Mamignan-Toure,N/A,Shooting Guard,Mamignan Toure (FRA),Toure,6,103,6226,38,7,17,6,13,6,7,0,2,0,2,6,9,12,27,-21,0,0
196698,/womensbasketballworldcup/2022/player/Ana-Tadic,N/A,Center,Ana Tadic (FRA),Tadic,6,48,2882,14,7,13,0,0,0,0,1,2,1,1,1,1,3,13,-1,0,0
216915,/womensbasketballworldcup/2022/player/Gabby-Williams,N/A,Forward,Gabby Williams (FRA),Williams,6,177,10647,95,38,68,4,19,7,10,5,25,3,20,12,9,9,97,16,0,0
196900,/womensbasketballworldcup/2022/player/Shay-Colley,N/A,Guard,Shay Colley (CAN),Colley,8,216,12994,64,19,44,7,20,5,6,3,15,3,21,21,11,22,57,38,0,0
176411,/womensbasketballworldcup/2022/player/Nirra-Fields,N/A,Guard,Nirra Fields (CAN),Fields,8,200,12046,82,23,64,10,27,6,15,9,20,4,14,6,7,14,63,-7,0,0
203119,/womensbasketballworldcup/2022/player/Bridget-Carleton,N/A,Small Forward,Bridget Carleton (CAN),Carleton,8,247,14838,102,19,44,16,45,16,21,3,39,9,16,10,11,14,111,33,0,0
188565,/womensbasketballworldcup/2022/player/Kia-Nurse,N/A,Guard,Kia Nurse (CAN),Nurse,8,167,10064,88,19,41,12,34,14,18,3,16,0,8,12,3,13,58,5,0,0
203125,/womensbasketballworldcup/2022/player/Aislinn-Konig,N/A,Guard,Aislinn Konig (CAN),Konig,7,57,3470,16,2,3,4,18,0,0,1,3,1,5,2,2,4,11,-20,0,0
161433,/womensbasketballworldcup/2022/player/Kayla-Alexander,N/A,Center,Kayla Alexander (CAN),Alexander,8,227,13636,57,20,50,0,0,17,20,30,47,9,13,13,7,16,117,19,1,0
167640,/womensbasketballworldcup/2022/player/Natalie-Achonwa,N/A,Center,Natalie Achonwa (CAN),Achonwa,8,193,11622,57,21,48,0,5,15,20,12,37,3,18,17,7,14,80,23,0,0
217041,/womensbasketballworldcup/2022/player/Laeticia-Amihere,N/A,Forward,Laeticia Amihere (CAN),Amihere,8,160,9614,58,22,58,1,6,11,21,15,14,8,8,12,9,13,49,-13,0,0
188714,/womensbasketballworldcup/2022/player/Sami-Hill,N/A,Guard,Sami Hill (CAN),Hill,8,62,3740,7,1,9,1,5,2,2,4,4,0,6,1,5,10,13,-29,0,0
323517,/womensbasketballworldcup/2022/player/Phillipina-Kyei,N/A,Center,Phillipina  Kyei (CAN),Kyei,5,29,1779,6,3,10,0,0,0,0,5,7,4,0,2,0,2,13,-6,0,0
181482,/womensbasketballworldcup/2022/player/Liwei-Yang,N/A,Point Guard,Liwei Yang (CHN),Yang,8,183,11027,74,20,43,9,18,7,11,3,10,0,31,14,7,12,75,51,0,0
203409,/womensbasketballworldcup/2022/player/Sijing-Huang,N/A,Power Forward,Sijing Huang (CHN),Huang,8,179,10746,61,16,19,9,32,2,2,3,39,2,26,8,12,8,109,83,0,0
218463,/womensbasketballworldcup/2022/player/Ru-Zhang,N/A,Forward,Ru Zhang (CHN),Zhang,8,140,8454,34,13,25,2,7,2,2,8,9,1,7,4,3,19,41,97,0,0
181495,/womensbasketballworldcup/2022/player/Meng-Li,N/A,Shooting Guard,Meng Li (CHN),Li,6,139,8377,96,25,50,11,27,13,15,5,5,0,15,7,2,4,73,78,0,0
258186,/womensbasketballworldcup/2022/player/Siyu-Wang,N/A,Guard,Siyu Wang (CHN),Wang,8,169,10154,74,15,30,11,19,11,16,2,24,3,35,18,9,9,101,67,0,0
224132,/womensbasketballworldcup/2022/player/Yuan-Li,N/A,Guard,Yuan Li (CHN),Li,8,124,7474,38,7,20,7,16,3,6,7,7,0,28,11,4,12,48,83,0,0
218464,/womensbasketballworldcup/2022/player/Yueru-Li,N/A,Center,Yueru Li (CHN),Li,8,152,9152,81,35,58,0,0,11,15,18,43,3,10,19,7,8,116,44,1,0
224131,/womensbasketballworldcup/2022/player/Xu-Han,N/A,Center,Xu Han (CHN),Han,8,175,10507,99,41,70,1,10,14,19,13,54,14,5,6,5,8,141,100,2,0
188921,/womensbasketballworldcup/2022/player/Weina-Jin,N/A,Guard,Weina Jin (CHN),Jin,5,71,4300,9,3,6,1,4,0,0,3,3,0,4,1,3,1,15,2,0,0
257740,/womensbasketballworldcup/2022/player/Zhenqi-Pan,N/A,Forward,Zhenqi Pan (CHN),Pan,8,112,6725,27,7,15,3,6,4,4,7,15,1,10,4,0,15,45,61,0,0
272269,/womensbasketballworldcup/2022/player/Tongtong-Wu,N/A,Guard,Tongtong Wu (CHN),Wu,8,130,7814,52,14,21,6,17,6,6,3,8,0,17,9,5,14,58,75,0,0
324440,/womensbasketballworldcup/2022/player/Dilixiati-Dilana,N/A,Center,Dilixiati Dilana (CHN),Dilana,4,21,1270,6,3,5,0,0,0,0,1,6,0,3,4,3,3,13,14,0,0
161501,/womensbasketballworldcup/2022/player/Danbi-Kim,N/A,Forward,Danbi Kim (KOR),Kim,5,124,7479,19,4,14,2,14,5,5,2,11,3,19,11,2,4,23,-79,0,0
197052,/womensbasketballworldcup/2022/player/Jihyun-Shin,N/A,Point Guard,Jihyun Shin (KOR),Shin,5,71,4300,25,7,18,3,7,2,4,2,8,1,13,6,3,8,29,-30,0,0
241163,/womensbasketballworldcup/2022/player/Yeeun-Heo,N/A,Guard,Yeeun Heo (KOR),Heo,4,23,1396,0,0,5,0,4,0,0,1,0,0,4,1,1,5,-4,-26,0,0
161499,/womensbasketballworldcup/2022/player/Hyejin-Park,N/A,Guard,Hyejin Park (KOR),Park,5,149,8994,62,10,20,14,28,0,1,5,12,0,14,9,6,7,65,-84,0,0
219253,/womensbasketballworldcup/2022/player/Jihyun-Park,N/A,Guard,Jihyun Park (KOR),Park,5,143,8628,64,21,42,5,22,7,7,2,15,2,14,11,9,13,57,-89,0,0
219255,/womensbasketballworldcup/2022/player/Sohee-Lee,N/A,Guard,Sohee Lee (KOR),Lee,5,31,1918,19,5,8,3,7,0,0,4,2,0,1,6,1,4,14,-46,0,0
207719,/womensbasketballworldcup/2022/player/Yebin-Yoon,N/A,Guard,Yebin Yoon (KOR),Yoon,5,88,5336,19,5,19,3,11,0,0,3,4,2,2,4,6,7,10,-83,0,0
