PlayerId,Position,OfficialName,Team,GamesPlayedTotal,MinutesTotal,SecondsTotal,PointsTotal,FieldGoals2PointsMadeTotal,FieldGoals2PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FreeThrowsMadeTotal,FreeThrowsAttemptedTotal,OffensiveReboundsTotal,DefensiveReboundsTotal,BlocksTotal,AssistsTotal,TurnOversTotal,StealsTotal,PersonalFoulsTotal,Efficiency,PlusMinus,DoubleDoubles,TripleDoubles,ReboundsTotal
167505,Power Forward,Emma Meesseman,BEL,4,109,6543,23,10,30,0,4,3,3,13,21,7,25,4,7,2,68.0,32,1,0,34
203030,Point Guard,Elise Ramette,BEL,5,34,2076,8,2,3,0,4,4,6,0,5,0,3,2,0,1,7.0,3,0,0,5
210754,Small Forward,Laure Resimont,BEL,5,26,1570,8,2,2,1,5,1,4,0,1,0,0,4,1,3,-1.0,-17,0,0,1
159422,Point Guard,Julie Vanloo,BEL,6,144,8641,73,9,20,17,39,4,5,1,7,0,13,18,9,10,51.0,-7,0,0,8
176909,Power Forward,Maki Takada,JPN,5,131,7887,47,12,23,3,11,14,16,4,17,2,1,4,5,4,51.0,-15,0,0,21
166703,Center,Ramu Tokashiki,JPN,5,91,5492,22,8,20,1,1,3,4,6,20,3,4,6,1,15,37.0,-4,0,0,26
181762,Power Forward,Yuki Miyazawa,JPN,5,55,3340,2,1,5,0,11,0,0,1,9,1,5,2,2,1,3.0,-2,0,0,10
181770,Point Guard,Shiori Yasuma,JPN,5,58,3533,18,5,16,1,5,5,6,1,6,0,13,12,5,9,15.0,-23,0,0,7
196924,Point Guard,Saori Miyazaki,JPN,5,94,5669,35,13,22,3,16,0,0,0,11,0,26,13,4,11,41.0,19,0,0,11
208006,Shooting Guard,Mai Yoshida,JPN,4,19,1144,0,0,1,0,5,0,0,0,4,1,0,2,0,0,-3.0,-21,0,0,4
207971,Shooting Guard,Himawari Akaho,JPN,5,113,6780,38,12,22,2,8,8,11,9,16,3,7,2,1,4,53.0,-37,0,0,25
208014,Power Forward,Stephanie Mawuli,JPN,5,100,6000,36,8,19,2,6,14,18,3,6,2,7,6,5,8,34.0,11,0,0,9
208010,Power Forward,Monica Okoye,JPN,5,96,5769,39,4,11,10,25,1,1,3,7,1,2,5,0,10,25.0,-14,0,0,10
218949,Point Guard,Mai Yamamoto,JPN,5,46,2798,10,3,10,1,13,1,1,0,6,1,5,6,2,5,-1.0,-13,0,0,6
259435,Shooting Guard,Nanako Todo,JPN,5,96,5811,26,7,10,4,13,0,0,3,10,2,3,8,5,4,29.0,-14,0,0,13
240137,Shooting Guard,Aika Hirashita,JPN,5,96,5777,43,4,12,11,28,2,2,2,6,0,3,1,3,5,31.0,28,0,0,8
